M050-kode;M050-navn;M050-kortkode
NiN-3.0-T-C-PE-NA-MB-TG01-M050-04;hevet grus-, stein- og blokkstrand;TG01-M050-04
NiN-3.0-T-C-PE-NA-MB-TG01-M050-05;breforland og snøavsmeltingsområde;TG01-M050-05
NiN-3.0-T-C-PE-NA-MB-TG01-M050-06;konsoliderte marine bresedimenter;TG01-M050-06
NiN-3.0-T-C-PE-NA-MB-TG01-M050-07;historisk silt- og leirskred;TG01-M050-07
NiN-3.0-T-C-PE-NA-MB-TG01-M050-08;historisk skred av sand og grus;TG01-M050-08
NiN-3.0-T-C-PE-NA-MB-TG01-M050-09;historisk steinskred;TG01-M050-09
NiN-3.0-T-C-PE-NA-MB-TG01-M050-10;historisk jordskred;TG01-M050-10
NiN-3.0-T-C-PE-NA-MB-TG01-M050-11;synkehull i permafrost;TG01-M050-11
NiN-3.0-T-C-PE-NA-MB-TG01-M050-12;flomskredmateriale;TG01-M050-12
NiN-3.0-T-C-PE-NA-MB-TH01-M050-01;kalkfattig til litt kalkrik avskoget hei og eng;TH01-M050-01
NiN-3.0-T-C-PE-NA-MB-TH01-M050-02;klart kalkrik avskoget hei og eng;TH01-M050-02
NiN-3.0-T-C-PE-NA-MB-TI01-M050-01;klart endret skogsmark;TI01-M050-01
NiN-3.0-T-C-PE-NA-MB-TK01-M050-01;kalkfattig til svakt kalkrik åpen semi-naturlig eng;TK01-M050-01
NiN-3.0-T-C-PE-NA-MB-TK01-M050-02;klart kalkrik åpen semi-naturlig eng;TK01-M050-02
NiN-3.0-T-C-PE-NA-MB-TK02-M050-01;semi-naturlig strandeng;TK02-M050-01
NiN-3.0-T-C-PE-NA-MB-TK03-M050-01;kalkfattig til litt kalkrik bakli-hei  og kystlynghei;TK03-M050-01
NiN-3.0-T-C-PE-NA-MB-TK03-M050-02;sterkt kalkrik kystlynghei;TK03-M050-02
NiN-3.0-T-C-PE-NA-MB-TL01-M050-01;kalkfattig til litt kalkrik ny eng med semi-naturlig preg;TL01-M050-01
NiN-3.0-T-C-PE-NA-MB-TL01-M050-02;sterkt kalkrik ny eng med semi-naturlig preg;TL01-M050-02
NiN-3.0-T-C-PE-NA-MB-TM01-M050-01;hard sterkt endret fastmark;TM01-M050-01
NiN-3.0-T-C-PE-NA-MB-TM02-M050-01;ny hard fastmark på tørrlagt innsjøbunn;TM02-M050-01
NiN-3.0-T-C-PE-NA-MB-TM02-M050-02;ny hard fastmark på tørrlagt elvebunn;TM02-M050-02
NiN-3.0-T-C-PE-NA-MB-TM03-M050-01;sterkt endret fastmark med dekke av jord eller blandet sediment;TM03-M050-01
NiN-3.0-T-C-PE-NA-MB-TM03-M050-02;sterkt endret fastmark med dekke av leire til grus;TM03-M050-02
NiN-3.0-T-C-PE-NA-MB-TM03-M050-03;sterkt endret fastmark av grovt organisk avfall;TM03-M050-03
NiN-3.0-T-C-PE-NA-MB-TM03-M050-04;sterkt endret fastmark av  løst, sterkt modifisert eller syntetisk substrat;TM03-M050-04
NiN-3.0-T-C-PE-NA-MB-TM04-M050-01;ny løs fastmark på tørrlagt innsjøbunn;TM04-M050-01
NiN-3.0-T-C-PE-NA-MB-TM04-M050-02;ny løs fastmark på tørrlagt elvebunn;TM04-M050-02
NiN-3.0-T-C-PE-NA-MB-TM05-M050-01;ny løs fastmark på drenert våtmark;TM05-M050-01
NiN-3.0-T-C-PE-NA-MB-TM06-M050-01;sterkt endret skogsmark;TM06-M050-01
NiN-3.0-T-C-PE-NA-MB-TM06-M050-02;sterkt endret skogsmark i mellomsuksesjonsstadium;TM06-M050-02
NiN-3.0-T-C-PE-NA-MB-TN01-M050-01;blomsterbed og annen hyppig bearbeidet mark;TN01-M050-01
NiN-3.0-T-C-PE-NA-MB-TN02-M050-01;blomsterenger, usprøytete vegkanter og liknende med semi-naturlig hevdpreg;TN02-M050-01
NiN-3.0-T-C-PE-NA-MB-TN03-M050-01;vegkanter, plener, parker og liknende uten semi-naturlig hevdpreg;TN03-M050-01
NiN-3.0-T-C-PE-NA-MB-TO01-M050-01;åker;TO01-M050-01
NiN-3.0-T-C-PE-NA-MB-TO02-M050-01;oppdyrket mark med semi-naturlig engpreg;TO02-M050-01
NiN-3.0-T-C-PE-NA-MB-TO03-M050-01;oppdyrket varig eng;TO03-M050-01
NiN-3.0-T-C-PE-NA-MB-TO04-M050-01;upløyd jordbruksmark med intensivt hevdpreg;TO04-M050-01
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;svært kalkfattig til litt kalkrik mykmatte til øvre tuenivå;VA01-M050-01
NiN-3.0-T-C-PE-NA-MB-VA01-M050-02;temmelig til ekstremt kalkrikt mattenivå i myrkant til nedre tuenivå;VA01-M050-02
NiN-3.0-T-C-PE-NA-MB-VB01-M050-01;svært kalkfattig til litt kalkrik myr- og sumpskogsmark;VB01-M050-01
NiN-3.0-T-C-PE-NA-MB-VB01-M050-02;Klart kalkrik myr- og sumpskogsmark;VB01-M050-02
NiN-3.0-T-C-PE-NA-MB-VC01-M050-01;åpen nedbørsmyr;VC01-M050-01
NiN-3.0-T-C-PE-NA-MB-VC02-M050-01;torvmarkskilde;VC02-M050-01
NiN-3.0-T-C-PE-NA-MB-VC03-M050-01;grunnkilde;VC03-M050-01
NiN-3.0-T-C-PE-NA-MB-VC04-M050-01;våt- og kildesnøleie;VC04-M050-01
NiN-3.0-T-C-PE-NA-MB-VC05-M050-01;permafrost-våtmark;VC05-M050-01
NiN-3.0-T-C-PE-NA-MB-VE01-M050-01;oppfrysingsvåtmark;VE01-M050-01
NiN-3.0-T-C-PE-NA-MB-VF01-M050-01;nedbørsmyr-skogsmark;VF01-M050-01
NiN-3.0-T-C-PE-NA-MB-VF02-M050-01;strandsump-skogsmark;VF02-M050-01
NiN-3.0-T-C-PE-NA-MB-VG01-M050-01;ny naturgitt torvmark;VG01-M050-01
NiN-3.0-T-C-PE-NA-MB-VG02-M050-01;ny naturgitt grunn våtmark;VG02-M050-01
NiN-3.0-T-C-PE-NA-MB-VI01-M050-01;klart endret våtmarksskogsmark;VI01-M050-01
NiN-3.0-T-C-PE-NA-MB-VK01-M050-01;slåttemyr;VK01-M050-01
NiN-3.0-T-C-PE-NA-MB-VK02-M050-01;semi-naturlig våteng;VK02-M050-01
NiN-3.0-T-C-PE-NA-MB-VM01-M050-01;sterkt endret torvmark;VM01-M050-01
NiN-3.0-T-C-PE-NA-MB-VM02-M050-01;ny torvmark på tidligere ferskvannsbunn;VM02-M050-01
NiN-3.0-T-C-PE-NA-MB-VM03-M050-01;ny torvmark på menneskebetinget forsumpet fastmark;VM03-M050-01
NiN-3.0-T-C-PE-NA-MB-VM04-M050-01;sterkt endret ikke torvproduserende våtmark;VM04-M050-01
NiN-3.0-T-C-PE-NA-MB-VM05-M050-01;ny grunn våtmark på tidligere ferskvannsbunn;VM05-M050-01
