M005-langkode;HTKode
NiN-3.0-T-C-PE-NA-MB-MC06-M005-05;NA-MC06
NiN-3.0-T-C-PE-NA-MB-MC07-M005-01;NA-MC07
NiN-3.0-T-C-PE-NA-MB-MC07-M005-02;NA-MC07
NiN-3.0-T-C-PE-NA-MB-MC07-M005-03;NA-MC07
NiN-3.0-T-C-PE-NA-MB-MC08-M005-01;NA-MC08
NiN-3.0-T-C-PE-NA-MB-MC08-M005-02;NA-MC08
NiN-3.0-T-C-PE-NA-MB-MC08-M005-03;NA-MC08
NiN-3.0-T-C-PE-NA-MB-MC08-M005-04;NA-MC08
NiN-3.0-T-C-PE-NA-MB-MC09-M005-01;NA-MC09
NiN-3.0-T-C-PE-NA-MB-MC09-M005-02;NA-MC09
NiN-3.0-T-C-PE-NA-MB-MC10-M005-01;NA-MC10
NiN-3.0-T-C-PE-NA-MB-MF01-M005-01;NA-MF01
NiN-3.0-T-C-PE-NA-MB-MF01-M005-02;NA-MF01
NiN-3.0-T-C-PE-NA-MB-MJ01-M005-01;NA-MJ01
NiN-3.0-T-C-PE-NA-MB-MM01-M005-01;NA-MM01
NiN-3.0-T-C-PE-NA-MB-MM01-M005-02;NA-MM01
NiN-3.0-T-C-PE-NA-MB-MM01-M005-03;NA-MM01
NiN-3.0-T-C-PE-NA-MB-MM01-M005-04;NA-MM01
NiN-3.0-T-C-PE-NA-MB-MM01-M005-05;NA-MM01
NiN-3.0-T-C-PE-NA-MB-MM01-M005-06;NA-MM01
NiN-3.0-T-C-PE-NA-MB-MM02-M005-01;NA-MM02
NiN-3.0-T-C-PE-NA-MB-MM02-M005-02;NA-MM02
NiN-3.0-T-C-PE-NA-MB-OA01-M005-01;NA-OA01
NiN-3.0-T-C-PE-NA-MB-OA01-M005-02;NA-OA01
NiN-3.0-T-C-PE-NA-MB-OA01-M005-03;NA-OA01
NiN-3.0-T-C-PE-NA-MB-OA01-M005-04;NA-OA01
NiN-3.0-T-C-PE-NA-MB-OA01-M005-05;NA-OA01
NiN-3.0-T-C-PE-NA-MB-OA01-M005-06;NA-OA01
NiN-3.0-T-C-PE-NA-MB-OA01-M005-07;NA-OA01
NiN-3.0-T-C-PE-NA-MB-OA01-M005-08;NA-OA01
NiN-3.0-T-C-PE-NA-MB-OA01-M005-09;NA-OA01
NiN-3.0-T-C-PE-NA-MB-OA01-M005-10;NA-OA01
