GTKode;forrigekode;FP;SP;Klasse;url
TK01-08;NA T32-3;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-3
TK01-08;NA T32-6;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-6
TK01-11;NA T32-15;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-15
TK01-11;NA T32-17;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-17
TK01-17;NA T32-15;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-15
TK01-17;NA T32-16;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-16
TK01-17;NA T32-17;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-17
TK01-17;NA T32-18;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-18
TK01-20;NA T32-4;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-4
TK01-20;NA T32-5;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-5
TK01-20;NA T32-7;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-7
TK01-20;NA T32-8;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-8
TK01-23;NA T32-16;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-16
TK01-23;NA T32-18;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-18
TK01-26;NA T32-11;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-11
TK01-26;NA T32-12;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-12
TK01-03;NA T32;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32
TK01-03;NA T32-6;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-6
TK01-03;NA T32-9;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-9
TK01-06;NA T32-17;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-17
TK01-06;NA T32-19;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-19
TK01-09;NA T32;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32
TK01-09;NA T32-6;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-6
TK01-09;NA T32-9;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-9
TK01-12;NA T32-17;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-17
TK01-12;NA T32-19;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-19
TK01-18;NA T32-17;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-17
TK01-18;NA T32-18;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-18
TK01-18;NA T32-19;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-19
TK01-18;NA T32-20;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-20
TK01-21;NA T32-7;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-7
TK01-21;NA T32-8;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-8
TK01-21;NA T32-10;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-10
TK01-24;NA T32;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32
TK01-24;NA T32-18;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-18
TK01-24;NA T32-20;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-20
TK01-15;NA T32-3;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-3
TK01-15;NA T32-4;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-4
TK01-15;NA T32-6;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-6
TK01-15;NA T32-7;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T32-7
TK02-03;NA T33-1;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T33-1
TK02-03;NA T33-2;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T33-2
TK03-04;NA T34-5;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T34-5
TK03-04;NA T34-6;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T34-6
TK03-03;NA T34-2;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T34-2
TK03-03;NA T34-3;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T34-3
TK03-05;NA T34-7;4;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T34-7
TK03-05;NA T34-8;4;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T34-8
TK03-05;NA T34-9;4;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T34-9
TK03-05;NA T34-10;4;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T34-10
TM01-01;NA T39-1;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-1
