Grunntype_kode;Basistrinn_csv
NA-T26-3;SV-abcd, VM-0a, SH-b
NA-T26-4;SV-abcd, VM-b, SH-b
NA-T26-5;LA-0abcd, S1-cd, SH-b
NA-T26-6;LA-0abcd, S1-efg, SH-b
NA-T26-7;LA-0abcd, S1-hi, SH-b
NA-T27-1;SV-0, KA-abcde, SH-c
NA-T27-2;SV-abcdef, KA-abcde, SH-c
NA-T27-3;SV-0, KA-fghi, SH-c
NA-T27-4;SV-abcdef, KA-fghi, SH-c
NA-T27-5;SV-¤, KA-abcdefghi, SH-c
NA-T27-6;SV-0, KA-abcde, VI-bc, SH-c
NA-T27-7;SV-0, KA-fghi, VI-bc, SH-c
NA-T27-8;LA-0abcd, SH-c
NA-T28-1;KA-abc, Sh-d
NA-T28-2;KA-defg, Sh-d
NA-T28-3;KA-hi, Sh-d
NA-T29-1;TV-l+, S1-c, LA-0ab, SH-e
NA-T29-2;TV-l+, S1-c, LA-cdef, SH-e
NA-T29-3;TV-l+, S1-de, LA-0ab, SH-e
NA-T29-4;TV-l+, S1-de, LA-cdef, SH-e
NA-T29-5;TV-l+, S1-j, LA-0ab, SH-e
NA-T29-6;TV-l+, S1-j, LA-cdef, SH-e
NA-T29-7;TV-ijk, S1-c, LA-0ab, SH-e
NA-T29-8;TV-1, S1-de, LA-0ab, SH-e
NA-T29-9;TV-1, S1-j, LA-0ab, SH-e
NA-T29-10;TV-l+, S1-de, LA-cdef, VI-¤, SH-e
NA-T30-1;S1-cde, VF-bc
NA-T30-2;S1-cde, VF-de
NA-T30-3;S1-fghi, VF-bc
NA-T30-4;S1-fghi, VF-de
NA-T30-5;S1-fghi, VF-bc, KI-bc
NA-T30-6;S1-fghi, VF-de, KI-bc
NA-T30-7;S1-fghi, VF-de, ER-b
NA-T31-1;KA-abc, UF-bc, MX-a
NA-T31-2;KA-abc, UF-de, MX-a
NA-T31-3;KA-abc, UF-fgh, MX-a
NA-T31-4;KA-de, UF-bc, MX-a
NA-T31-5;KA-de, UF-de, MX-a
NA-T31-6;KA-de, UF-fgh, MX-a
NA-T31-7;KA-fg, UF-bc, MX-a
NA-T31-8;KA-fg, UF-de, MX-a
NA-T31-9;KA-fg, UF-fgh, MX-a
NA-T31-10;KA-hi, UF-bc, MX-a
NA-T31-11;KA-hi, UF-de, MX-a
NA-T31-12;KA-hi, UF-fgh, MX-a
NA-T31-13;KA-de, UF-bc, MX-a, KI-bc
NA-T31-14;KA-fghi, UF-bc, MX-a, KI-bc
NA-T32-1;KA-bc, HI-b
NA-T32-2;KA-bc, HI-cd
NA-T32-3;KA-de, HI-b
NA-T32-4;KA-de, HI-cd
NA-T32-5;KA-de, HI-e
NA-T32-6;KA-fg, HI-b
NA-T32-7;KA-fg, HI-cd
NA-T32-8;KA-fg, HI-e
NA-T32-9;KA-hi, HI-b
NA-T32-10;KA-hi, HI-cd
NA-T32-11;KA-fghi, HI-b, KI-bc
NA-T32-12;KA-fghi, HI-cde, KI-bc
NA-T32-13;KA-bc, HI-b, UF-cde
NA-T32-14;KA-bc, HI-cd, UF-cde
NA-T32-15;KA-de, HI-b, UF-cde
