HTK;Navn;PrK;PrK-tekst;GrL;Definisjonsgrunnlag-tekst;dLKM;hLKM;tLKM;uLKM;Kunnskapsgrunnlag - Hovedtypen generelt;Kunnskapsgrunnlag - Grunntypeinndelingen
T10;Arktisk steppe;3;Preget av miljøstress;S;miljøstressbetinget;AS;;VI;;2;1
T11;Saltanrikingsmark i fjæresonen;3;Preget av miljøstress;S ;miljøstressbetinget;TV,SF;;TV,S1;;3;2
T12;Strandeng;3;Preget av miljøstress;S ;miljøstressbetinget;TV,SA;TV ;;SA,HI,S1,VM,KA;3;3
T13;Rasmark;4;Preget av aktiv regulerende forstyrrelse ;RL;betinget av regulerende forstyrrelse, ikke jorddekt;RU ;KA,S1 ;UE,RU ;BK,VI;3;2
T14;Rabbe;4;Preget av aktiv regulerende forstyrrelse ;R;betinget av regulerende forstyrrelse;VI;;VI,KA;;4;4
T15;Fosse-eng;4;Preget av aktiv regulerende forstyrrelse ;R;betinget av regulerende forstyrrelse;VS;;KA ;VS,HI,KI;2;2
T16;Rasmarkhei og -eng;4;Preget av aktiv regulerende forstyrrelse ;R;betinget av regulerende forstyrrelse;RU;KA ;RU,KI ;UF,HI,BK,VI,VM;3;3
T17;Aktiv skredmark;5;Preget av aktiv destabiliserende forstyrrelse;DL;betinget av destabiliserende forstyrrelse, ikke jorddekt;SU;S1 ;;SU,KA,KI;2;3
T18;Åpen flomfastmark;5;Preget av aktiv destabiliserende forstyrrelse;DL;betinget av destabiliserende forstyrrelse, ikke jorddekt;VF;S1 ;VF,KA,ER ;IF,KI,HI;2;2
T19;Oppfrysingsmark;5;Preget av aktiv destabiliserende forstyrrelse;D;betinget av destabiliserende forstyrrelse;PF,OF;;KA;;2;2
T20;Isinnfrysingsmark;5;Preget av aktiv destabiliserende forstyrrelse;D;betinget av destabiliserende forstyrrelse;IF;;KA;;3;3
T21;Sanddynemark;5;Preget av aktiv destabiliserende forstyrrelse;D;betinget av destabiliserende forstyrrelse;SS;SS ;VI,VM ;HI;4;3
T22;Fjellgrashei og grastundra;5;Preget av aktiv destabiliserende forstyrrelse;D;betinget av destabiliserende forstyrrelse;JF;;KA,SV ;VM;3;3
T23;Ferskvanns-driftvoll;5;Preget av aktiv destabiliserende forstyrrelse;D;betinget av destabiliserende forstyrrelse;TV,IO;;;;1;2
T24;Driftvoll;5;Preget av aktiv destabiliserende forstyrrelse;D;betinget av destabiliserende forstyrrelse;TV,IO,SA;VF ;;VM;3;2
T25;Historisk skredmark;6a;Preget av historisk disruptivt miljøstress eller destabiliserende forstyrrelse - Rask suksesjon;XD;betinget av destabiliserende historisk forstyrrelse;SH;S1 ;;KA,KI;1;1
T26;Breforland og snøavsmeltingsområde;6b;Preget av historisk disruptivt miljøstress eller destabiliserende forstyrrelse - Langsom eller frosset suksesjon ;XSL ;betinget av historisk miljøstress, ikke jorddekt;SH;;SV,VM,LA,S1 ;KA,KI ;4;2
