Nivå;Hovedtypegruppe_kode;Hovedtype_kode;HOVEDTYPE_navn;Sammensatt_Kode;Navn_GRUNNTYPE 1:500 (langnavn);Navn_GRUNNTYPE 1:500 (populærnavn)
NA;L;L2;Eufotisk limnisk sedimentbunn;L2-4;svært kalkfattig finmaterialrik organisk limnisk bunn med liten til intermediær erosjonsmotstand;svært kalkfattig organisk løsbunn
NA;L;L2;Eufotisk limnisk sedimentbunn;L2-5;svært kalkfattig myrtorvbunn;
NA;L;L2;Eufotisk limnisk sedimentbunn;L2-6;svært kalkfattig myrtorvbunn med nedbørvann;høljegjølbunn
NA;L;L2;Eufotisk limnisk sedimentbunn;L2-7;nokså kalkfattig finmaterialfattig limnisk bunn med liten til nokså stor erosjonsmotstand;nokså kalkfattig sand- og grusbunn
NA;L;L2;Eufotisk limnisk sedimentbunn;L2-8;nokså kalkfattig finmaterialrik limnisk bunn med liten til intermediær erosjonsmotstand;nokså kalkfattig løsbunn
NA;L;L2;Eufotisk limnisk sedimentbunn;L2-9;nokså kalkfattig finmaterialrik limnisk bunn med nokså stor erosjonsmotstand;nokså kalkfattig leirbunn
NA;L;L2;Eufotisk limnisk sedimentbunn;L2-10;nokså kalkfattig finmaterialfattig limnisk bunn med stor erosjonsmotstand;nokså kalkfattig steinbunn
NA;L;L2;Eufotisk limnisk sedimentbunn;L2-11;nokså kalkfattig finmaterialrik organisk limnisk bunn med liten til intermediær erosjonsmotstand;nokså kalkfattig organisk løsbunn
NA;L;L2;Eufotisk limnisk sedimentbunn;L2-12;nokså kalkfattig myrtorvbunn;
NA;L;L2;Eufotisk limnisk sedimentbunn;L2-13;nokså kalkrik finmaterialfattig limnisk bunn med liten til nokså stor erosjonsmotstand;nokså kalkrik sand- og grusbunn
NA;L;L2;Eufotisk limnisk sedimentbunn;L2-14;nokså kalkrik finmaterialrik limnisk bunn med liten til intermediær erosjonsmotstand;nokså kalkrik løsbunn
NA;L;L2;Eufotisk limnisk sedimentbunn;L2-15;nokså kalkrik finmaterialrik limnisk bunn med nokså stor erosjonsmotstand;nokså kalkrik leirbunn
NA;L;L2;Eufotisk limnisk sedimentbunn;L2-16;nokså kalkrik finmaterialfattig limnisk bunn med stor erosjonsmotstand;nokså kalkrik steinbunn
NA;L;L2;Eufotisk limnisk sedimentbunn;L2-17;nokså kalkrik finmaterialfattig limnisk bunn med liten til nokså stor erosjonsmotstand preget av disruptiv sedimentasjon;disruptiv sedimentasjonsbunn
NA;L;L2;Eufotisk limnisk sedimentbunn;L2-18;nokså kalkrik finmaterialrik organisk limnisk bunn med liten til intermediær erosjonsmotstand;nokså kalkrik organisk løsbunn
NA;L;L2;Eufotisk limnisk sedimentbunn;L2-19;nokså kalkrik myrtorvbunn;
NA;L;L3;Afotisk limnisk sedimentbunn;L3-1;kalkfattig afotisk limnisk sedimentbunn;kalkfattig dyp sedimentbunn
NA;L;L3;Afotisk limnisk sedimentbunn;L3-2;kalkrik afotisk limnisk sedimentbunn;kalkrik dyp sedimentbunn
NA;L;L4;Helofytt-ferskvannssump;L4-1;temmelig til svært kalkfattig helofytt-ferskvannssump;kalkfattig helofyttsump
NA;L;L4;Helofytt-ferskvannssump;L4-2;litt kalkfattig til intermediær helofytt-ferskvannssump;litt kalkfattig til intermediær helofyttsump
NA;L;L4;Helofytt-ferskvannssump;L4-3;kalkrik helofytt-ferskvannssump;kalkrik helofyttsump
NA;L;L5;Ferskvannskildebunn;L5-1;intermediær grunnkilde;
NA;L;L5;Ferskvannskildebunn;L5-2;intermediær torvmarkskilde;
NA;L;L5;Ferskvannskildebunn;L5-3;intermediær innsjø- og elvekilde;
NA;L;L5;Ferskvannskildebunn;L5-4;kalkrik grunnkilde;
NA;L;L6;Afotisk limnisk sedimentbunn preget av oksygenmangel;L6-1;afotisk limnisk periodisk anoksisk sedimentbunn;periodisk anoksisk innsjøbunn
NA;L;L6;Afotisk limnisk sedimentbunn preget av oksygenmangel;L6-2;afotisk limnisk anoksisk sedimentbunn;anoksisk innsjøbunn
NA;L;L7;Sterkt endret eller ny fast ferskvannsbunn;L7-1;sterkt regulert fast innsjøbunn;
NA;L;L7;Sterkt endret eller ny fast ferskvannsbunn;L7-2;sterkt regulert fast elvebunn;
NA;L;L7;Sterkt endret eller ny fast ferskvannsbunn;L7-3;neddemt nakent berg;
NA;L;L8;Sterkt endret eller ny limnisk sedimentbunn;L8-1;innsjøbunn som er sterkt endret ved deponering eller uttak av lite modifiserte masser;innsjøbunn som er sterkt endret ved deponering eller uttak av masser
NA;L;L8;Sterkt endret eller ny limnisk sedimentbunn;L8-2;elvebunn som er sterkt endret ved deponering eller uttak av lite modifiserte masser;elvebunn som er sterkt endret ved deponering eller uttak av masser
NA;L;L8;Sterkt endret eller ny limnisk sedimentbunn;L8-3;bunn med sterkt avvikende kjemisk sammensetning (deponi for kjemisk avfall, irreversibelt sterkt forurenset grunn etc.);bunn med sterkt avvikende kjemisk sammensetning
NA;L;L8;Sterkt endret eller ny limnisk sedimentbunn;L8-4;sterkt endret grunnkildebunn (ved deponering eller utgraving av masser);sterkt endret grunnkildebunn
NA;L;L8;Sterkt endret eller ny limnisk sedimentbunn;L8-5;sterkt regulert innsjøbunn;
NA;L;L8;Sterkt endret eller ny limnisk sedimentbunn;L8-6;sterkt regulert elvebunn;
NA;L;L8;Sterkt endret eller ny limnisk sedimentbunn;L8-7;neddemt jorddekt fastmark og andre løsmasser;
NA;L;L8;Sterkt endret eller ny limnisk sedimentbunn;L8-8;neddemt torvmark;
NA;T;T1;Nakent berg;T1-1;svært lite uttørkingseksponert kalkfattig bergvegg;kalkfattig fuktig bergvegg
NA;T;T1;Nakent berg;T1-2;nokså lite uttørkingseksponert kalkfattig bergvegg;kalkfattig middels tørr bergvegg
NA;T;T1;Nakent berg;T1-3;nokså uttørkingseksponert kalkfattig bergvegg;kalkfattig tørkeutsatt bergvegg
NA;T;T1;Nakent berg;T1-4;svært uttørkingseksponert kalkfattig bergvegg;kalkfattig tørr bergvegg
NA;T;T1;Nakent berg;T1-5;svært lite uttørkingseksponert svakt intermediær bergvegg;svakt intermediær fuktig bergvegg
NA;T;T1;Nakent berg;T1-6;nokså lite uttørkingseksponert svakt intermediær bergvegg;svakt intermediær middels tørr bergvegg
NA;T;T1;Nakent berg;T1-7;nokså uttørkingseksponert svakt intermediær bergvegg;svakt intermediær tørkeutsatt bergvegg
NA;T;T1;Nakent berg;T1-8;svært uttørkingseksponert svakt intermediær bergvegg;svakt intermediær tørr bergvegg
NA;T;T1;Nakent berg;T1-9;svært lite uttørkingseksponert sterkt intermediær bergvegg;sterkt intermediær fuktig bergvegg
NA;T;T1;Nakent berg;T1-10;nokså lite uttørkingseksponert sterkt intermediær bergvegg;sterkt intermediær middels tørr bergvegg
NA;T;T1;Nakent berg;T1-11;nokså uttørkingseksponert sterkt intermediær bergvegg;sterkt intermediær tørkeutsatt bergvegg
NA;T;T1;Nakent berg;T1-12;svært uttørkingseksponert sterkt intermediær bergvegg;sterkt intermediær tørr bergvegg
NA;T;T1;Nakent berg;T1-13;svært lite uttørkingseksponert kalkrik bergvegg;kalkrik fuktig bergvegg
NA;T;T1;Nakent berg;T1-14;nokså lite uttørkingseksponert kalkrik bergvegg;kalkrik middels tørr bergvegg
NA;T;T1;Nakent berg;T1-15;nokså uttørkingseksponert kalkrik bergvegg;kalkrik tørkeutsatt bergvegg
NA;T;T1;Nakent berg;T1-16;svært uttørkingseksponert kalkrik bergvegg;kalkrik tørr bergvegg
NA;T;T1;Nakent berg;T1-17;svært lite uttørkingseksponert svært kalkrik bergvegg;fuktig kalkbergvegg
NA;T;T1;Nakent berg;T1-18;nokså lite uttørkingseksponert svært kalkrik bergvegg;middels tørr kalkbergvegg
NA;T;T1;Nakent berg;T1-19;nokså uttørkingseksponert svært kalkrik bergvegg;tørkeutsatt kalkbergvegg
NA;T;T1;Nakent berg;T1-20;svært uttørkingseksponert svært kalkrik bergvegg;tørr kalkbergvegg
NA;T;T1;Nakent berg;T1-21;lite uttørkingseksponert kalkfattig iblant overrislet berg;kalkfattig fuktig berg med periodisk overrisling
NA;T;T1;Nakent berg;T1-22;nokså uttørkingseksponert kalkfattig iblant overrislet berg;kalkfattig middels tørt berg med periodisk overrisling
NA;T;T1;Nakent berg;T1-23;svært uttørkingseksponert kalkfattig iblant overrislet berg;kalkfattig tørrberg med periodisk overrisling
NA;T;T1;Nakent berg;T1-24;lite uttørkingseksponert svakt intermediært iblant overrislet berg;svakt intermediært fuktig berg med periodisk overrisling
NA;T;T1;Nakent berg;T1-25;nokså uttørkingseksponert svakt intermediært iblant overrislet berg;svakt intermediært middels tørt berg med periodisk overrisling
NA;T;T1;Nakent berg;T1-26;svært uttørkingseksponert svakt intermediært iblant overrislet berg;svakt intermediært tørrberg med periodisk overrisling
NA;T;T1;Nakent berg;T1-27;lite uttørkingseksponert sterkt intermediært iblant overrislet berg;sterkt intermediært fuktig berg med periodisk overrisling
NA;T;T1;Nakent berg;T1-28;nokså uttørkingseksponert sterkt intermediært iblant overrislet berg;sterkt intermediært middels tørt berg med periodisk overrisling
NA;T;T1;Nakent berg;T1-29;svært uttørkingseksponert sterkt intermediært iblant overrislet berg;sterkt intermediært tørrberg med periodisk overrisling
NA;T;T1;Nakent berg;T1-30;lite uttørkingseksponert kalkrikt iblant overrislet berg;fuktig kalkberg med periodisk overrisling
NA;T;T1;Nakent berg;T1-31;nokså uttørkingseksponert kalkrikt iblant overrislet berg;middels tørt kalkberg med periodisk overrisling
NA;T;T1;Nakent berg;T1-32;svært uttørkingseksponert kalkrikt iblant overrislet berg;kalktørrberg med periodisk overrisling
NA;T;T1;Nakent berg;T1-33;lite uttørkingseksponert kalkfattig ofte overrislet berg;kalkfattig fuktig overrislingsberg
NA;T;T1;Nakent berg;T1-34;uttørkingseksponert kalkfattig ofte overrislet berg;kalkfattig tørt overrislingsberg
NA;T;T1;Nakent berg;T1-35;lite uttørkingseksponert svakt intermediært ofte overrislet berg;svakt intermediært fuktig overrislingsberg
NA;T;T1;Nakent berg;T1-36;uttørkingseksponert svakt intermediært ofte overrislet berg;svakt intermediært tørt overrislingsberg
NA;T;T1;Nakent berg;T1-37;lite uttørkingseksponert sterkt intermediært ofte overrislet berg;sterkt intermediært fuktig overrislingsberg
NA;T;T1;Nakent berg;T1-38;uttørkingseksponert sterkt intermediært ofte overrislet berg;sterkt intermediært tørt overrislingsberg
NA;T;T1;Nakent berg;T1-39;lite uttørkingseksponert kalkrikt ofte overrislet berg;fuktig overrislingskalkberg
NA;T;T1;Nakent berg;T1-40;uttørkingseksponert kalkrikt ofte overrislet berg;tørt overrislingskalkberg
NA;T;T1;Nakent berg;T1-41;svært lite uttørkingseksponert kalkfattig bergknaus;kalkfattig fuktig bergknaus
NA;T;T1;Nakent berg;T1-42;nokså lite uttørkingseksponert kalkfattig bergknaus;kalkfattig middels tørr bergknaus
NA;T;T1;Nakent berg;T1-43;nokså uttørkingseksponert kalkfattig bergknaus;kalkfattig tørkeutsatt bergknaus
NA;T;T1;Nakent berg;T1-44;svært uttørkingseksponert kalkfattig bergknaus;kalkfattig tørr bergknaus
NA;T;T1;Nakent berg;T1-45;svært lite uttørkingseksponert svakt intermediær bergknaus;svakt intermediær fuktig bergknaus
NA;T;T1;Nakent berg;T1-46;nokså lite uttørkingseksponert svakt intermediær bergknaus;svakt intermediær middels tørr bergknaus
NA;T;T1;Nakent berg;T1-47;nokså uttørkingseksponert svakt intermediær bergknaus;svakt intermediær tørkeutsatt bergknaus
NA;T;T1;Nakent berg;T1-48;svært uttørkingseksponert svakt intermediær bergknaus;svakt intermediær tørr bergknaus
NA;T;T1;Nakent berg;T1-49;svært lite uttørkingseksponert sterkt intermediær bergknaus;sterkt intermediær fuktig bergknaus
NA;T;T1;Nakent berg;T1-50;nokså lite uttørkingseksponert sterkt intermediær bergknaus;sterkt intermediær middels tørr bergknaus
NA;T;T1;Nakent berg;T1-51;nokså uttørkingseksponert sterkt intermediær bergknaus;sterkt intermediær tørkeutsatt bergknaus
NA;T;T1;Nakent berg;T1-52;svært uttørkingseksponert sterkt intermediær bergknaus;sterkt intermediær tørr bergknaus
NA;T;T1;Nakent berg;T1-53;svært lite uttørkingseksponert kalkrik bergknaus;kalkrik fuktig bergknaus
NA;T;T1;Nakent berg;T1-54;nokså lite uttørkingseksponert kalkrik bergknaus;kalkrik middels tørr bergknaus
NA;T;T1;Nakent berg;T1-55;nokså uttørkingseksponert kalkrik bergknaus;kalkrik tørkeutsatt bergknaus
NA;T;T1;Nakent berg;T1-56;svært uttørkingseksponert kalkrik bergknaus;kalkrik tørr bergknaus
NA;T;T1;Nakent berg;T1-57;svært lite uttørkingseksponert svært kalkrik bergknaus;fuktig kalkbergknaus
NA;T;T1;Nakent berg;T1-58;nokså lite uttørkingseksponert svært kalkrik bergknaus;middels tørr kalkbergknaus
NA;T;T1;Nakent berg;T1-59;nokså uttørkingseksponert svært kalkrik bergknaus;tørkeutsatt kalkbergknaus
NA;T;T1;Nakent berg;T1-60;svært uttørkingseksponert svært kalkrik bergknaus;tørr kalkbergknaus
NA;T;T1;Nakent berg;T1-61;kalkfattig flomsonebergknaus;
NA;T;T1;Nakent berg;T1-62;kalkfattig flomsonebergvegg;
NA;T;T1;Nakent berg;T1-63;svakt intermediær flomsonebergknaus;
NA;T;T1;Nakent berg;T1-64;svakt intermediær flomsonebergvegg;
NA;T;T1;Nakent berg;T1-65;sterkt intermediær flomsonebergknaus;
NA;T;T1;Nakent berg;T1-66;sterkt intermediær flomsonebergvegg;
NA;T;T1;Nakent berg;T1-67;kalkrik flomsonebergknaus;
NA;T;T1;Nakent berg;T1-68;kalkrik flomsonebergvegg;
NA;T;T1;Nakent berg;T1-69;kalkfattig fossebergknaus;
NA;T;T1;Nakent berg;T1-70;kalkfattig flomsonebergvegg;
NA;T;T1;Nakent berg;T1-71;svakt intermediær fossebergknaus;
NA;T;T1;Nakent berg;T1-72;svakt intermediær fossebergvegg;
NA;T;T1;Nakent berg;T1-73;sterkt intermediær fossebergknaus;
NA;T;T1;Nakent berg;T1-74;sterkt intermediær fossebergvegg;
NA;T;T1;Nakent berg;T1-75;kalkrik fossebergknaus;
NA;T;T1;Nakent berg;T1-76;kalkrik flomsonebergvegg;
NA;T;T1;Nakent berg;T1-77;kalkfattig lite uttørkingseksponert berg i pionerfase;kalkfattig fuktig til middels tørt berg i pionerfase
NA;T;T1;Nakent berg;T1-78;kalkfattig uttørkingseksponert berg i pionerfase;kalkfattig tørt berg i pionerfase
NA;T;T1;Nakent berg;T1-79;intermediært til svært kalkrikt lite uttørkingseksponert berg i pionerfase;fuktig til middels tørt kalkrikt berg i pionerfase
NA;T;T1;Nakent berg;T1-80;intermediært til svært kalkrikt uttørkingseksponert berg i pionerfase;kalkrikt tørt berg i pionerfase
NA;T;T1;Nakent berg;T1-81;kalkfattig snøleieberg;
NA;T;T1;Nakent berg;T1-82;kalkrikt snøleieberg;
NA;T;T1;Nakent berg;T1-83;kalkfattig sterkt vindutsatt berg;
NA;T;T1;Nakent berg;T1-84;kalkrikt sterkt vindutsatt berg;
NA;T;T1;Nakent berg;T1-85;fuglestein og fugleberg;
NA;T;T2;Åpen grunnlendt mark;T2-1;Åpen kalkfattig grunnlendt lyngmark;
NA;T;T2;Åpen grunnlendt mark;T2-2;Åpen kalkfattig grunnlendt lavmark;
NA;T;T2;Åpen grunnlendt mark;T2-3;Åpen intermediær grunnlendt lyngmark;
NA;T;T2;Åpen grunnlendt mark;T2-4;Åpen intermediær grunnlendt lavmark;
NA;T;T2;Åpen grunnlendt mark;T2-5;Åpen nokså kalkrik grunnlendt lyngmark;
NA;T;T2;Åpen grunnlendt mark;T2-6;Åpen nokså kalkrik grunnlendt lavmark;
NA;T;T2;Åpen grunnlendt mark;T2-7;Åpen svært kalkrik grunnlendt lyngmark;
NA;T;T2;Åpen grunnlendt mark;T2-8;Åpen svært kalkrik grunnlendt lavmark;
NA;T;T3;Fjellhei, leside og tundra;T3-1;kalkfattig leside;
NA;T;T3;Fjellhei, leside og tundra;T3-2;kalkfattig fjell-lynghei;
NA;T;T3;Fjellhei, leside og tundra;T3-3;kalkfattig fjell-lavhei;
NA;T;T3;Fjellhei, leside og tundra;T3-4;intermediær leside;
NA;T;T3;Fjellhei, leside og tundra;T3-5;intermediær fjell-lynghei;
NA;T;T3;Fjellhei, leside og tundra;T3-6;intermediær fjell-lavhei;
NA;T;T3;Fjellhei, leside og tundra;T3-7;nokså kalkrik leside;
NA;T;T3;Fjellhei, leside og tundra;T3-8;nokså kalkrik fjell-lynghei;
NA;T;T3;Fjellhei, leside og tundra;T3-9;nokså kalkrik fjell-lavhei;
NA;T;T3;Fjellhei, leside og tundra;T3-10; svært kalkrik leside;
NA;T;T3;Fjellhei, leside og tundra;T3-11; svært kalkrik fjell-lynghei;
NA;T;T3;Fjellhei, leside og tundra;T3-12; svært kalkrik fjell-lavhei;
NA;T;T3;Fjellhei, leside og tundra;T3-13;intermediær fjell-lavhei med svak kildevannspåvirkning;intermediær kildepåvirket fjellhei
NA;T;T3;Fjellhei, leside og tundra;T3-14;kalkrik fjell-lavhei med svak kildevannspåvirkning;kalkrik kildepåvirket fjellhei
NA;T;T4;Fastmarksskogsmark;T4-1;blåbærskog;
NA;T;T4;Fastmarksskogsmark;T4-2;svak lågurtskog;
NA;T;T4;Fastmarksskogsmark;T4-3;lågurtskog;
NA;T;T4;Fastmarksskogsmark;T4-4;kalklågurtskog;
NA;T;T4;Fastmarksskogsmark;T4-5;bærlyngskog;
NA;T;T4;Fastmarksskogsmark;T4-6;svak bærlyng-lågurtskog;
NA;T;T4;Fastmarksskogsmark;T4-7;bærlyng-lågurtskog;
NA;T;T4;Fastmarksskogsmark;T4-8;bærlyng-kalklågurtskog;
NA;T;T4;Fastmarksskogsmark;T4-9;lyngskog;
NA;T;T4;Fastmarksskogsmark;T4-10;svak lyng-lågurtskog;
NA;T;T4;Fastmarksskogsmark;T4-11;lyng-lågurtskog;
NA;T;T4;Fastmarksskogsmark;T4-12;lyng-kalklågurtskog;
NA;T;T4;Fastmarksskogsmark;T4-13;lavskog;
NA;T;T4;Fastmarksskogsmark;T4-14;svak lav-lågurtskog;
NA;T;T4;Fastmarksskogsmark;T4-15;lav-lågurtskog;
NA;T;T4;Fastmarksskogsmark;T4-16;lav-kalklågurtskog;
NA;T;T4;Fastmarksskogsmark;T4-17;storbregneskog;
NA;T;T4;Fastmarksskogsmark;T4-18;høgstaudeskog;
NA;T;T4;Fastmarksskogsmark;T4-19;litt tørkeutsatt høgstaudeskog;
NA;T;T4;Fastmarksskogsmark;T4-20;tørkeutsatt høgstaudeskog;
NA;T;T5;Grotte og overheng;T5-1;kalkfattig overheng;
NA;T;T5;Grotte og overheng;T5-2;nokså kalkrikt overheng;
NA;T;T5;Grotte og overheng;T5-3;svært kalkrikt overheng;
NA;T;T5;Grotte og overheng;T5-4;kalkfattig til nokså kalkrik grotte og overheng;mindre kalkrik grotte
NA;T;T5;Grotte og overheng;T5-5;svært kalkrik grotte og overheng;karstgrotte og overheng
NA;T;T5;Grotte og overheng;T5-6;kalkfattig til nokså kalkrik indre del av dyp grotte;mindre kalkrikt grottedyp
NA;T;T5;Grotte og overheng;T5-7;svært kalkrik indre del av dyp grotte;indre del av dyp karstgrotte
NA;T;T5;Grotte og overheng;T5-8;uttørkingseksponert kalkfattig overheng;tørre kalkfattige overheng
NA;T;T5;Grotte og overheng;T5-9;uttørkingseksponert nokså kalkrikt overheng;tørre nokså kalkrike overheng
NA;T;T5;Grotte og overheng;T5-10;uttørkingseksponert svært kalkrikt overheng;tørre svært kalkrike overheng
NA;T;T6;Strandberg;T6-1;kalkfattig og intermediær beskyttet bergknaus i nedre supralitoral;bergknaus i nedre bølgeslagssone
