col_0;Variabelgruppe;Nivå 1 Kode;;Nivå 2 Kode;;Nivå 3 Kode;Sammensatt kode;Navn;Variabeltype;Nivå 2 Kode ny;Tags
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);30;2BE-4_30;Granittisk gneis (granitic gneiss);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);31;2BE-4_31;Granodiorittisk gneis (granodioritic gneiss);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);32;2BE-4_32;Tonalittisk gneis (tonalitic gneiss);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);33;2BE-4_33;Kvartsdiorittisk gneis (quartz dioritic gneiss);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);34;2BE-4_34;Monzonittisk gneis (monzonitic gneiss);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);35;2BE-4_35;Diorittisk gneis (dioritic gneiss);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);40;2BE-4_40;Migmatitt (migmatite);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);41;2BE-4_41;Øyegneis  (augengneiss);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);42;2BE-4_42;Båndgneis (banded gneiss);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);50;2BE-4_50;Grønnskifer (greenschist);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);51;2BE-4_51;Grønnstein (greenstone);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);52;2BE-4_52;Amfibolitt (amphibolite);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);53;2BE-4_53;Granatamfibolitt (garnet amphibolite);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);54;2BE-4_54;Metagabbro (metagabbro);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);55;2BE-4_55;Eklogitt (eclogite);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);56;2BE-4_56;Serpentinitt (serpentinite);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);57;2BE-4_57;Kleberstein (soapstone);B;2BE-4;Trinn
